Molecule,Lowest_Total_Energy,Conformers within 3 kcal/mol,Conformers within 5 kcal/mol
e34,31.282,4,15
e37,150.029,20,24
e9,32.369,10,12
e35,62.169,16,16
e19,12.935,6,10
e36,212.58,2,2
e15,19.845,6,6
e27,3.205,6,8
e32,16.618,4,4
e33,21.942,10,27
e28,19.777,1,6
e14,17.796,3,5
e16,34.813,1,2
e3,9.588,2,2
e17,18.409,13,14
e25,15.23,4,4
e6,21.98,8,11
e23,15.758,18,27
e7,12.039,13,14
e26,17.857,6,11
e20,13.651,4,5
e11,13.651,4,5
e18,16.225,4,4
e13,16.225,4,4
e40,259.941,1,1
e10,17.79,2,2
e8,15.748,4,4
e31,17.92,8,8
e21,13.651,4,5
e12,45.95,4,4
e24,15.651,1,3
e2,12.289,3,3
e22,12.482,4,5
e30,17.92,8,8
e29,37.724,1,7
e1,9.097,3,3
e4,9.588,2,2
e5,9.588,2,2
e38,33.03,1,1
e39,153.724,1,1
