Molecule,Lowest_Total_Energy,Conformers within 3 kcal/mol,Conformers within 5 kcal/mol
e37,81.213,4,4
e34,0.686,6,22
e35,19.102,48,84
e9,20.397,22,38
e28,4.847,6,7
e33,5.389,20,37
e26,0.153,14,24
e23,1.364,12,21
e16,8.253,1,1
e15,7.934,7,12
e32,7.055,2,2
e20,24.983,2,2
e6,1.343,13,14
e36,224.526,4,4
e10,11.062,5,7
e30,7.359,4,6
e17,6.388,9,11
e27,0.13,2,2
e7,0.043,10,10
e21,24.984,2,2
e22,2.099,7,7
e12,35.908,4,7
e31,7.358,4,6
e14,10.763,1,1
e2,5.32,3,3
e19,6.21,2,2
e18,7.895,4,4
e8,3.262,6,6
e1,5.661,3,3
e29,5.182,5,7
e13,7.892,4,4
e25,62.281,1,1
e11,24.984,2,2
e38,33.165,1,1
e40,219.787,1,1
e39,228.075,1,1
