Molecule,Lowest_Total_Energy
c10n,9.413
c12p,32.78
c12p0,32.78
c12p1,38.747
c15,24.714
c15a,24.573
c15b,24.595
c15c,24.608
c15d,24.69
c15e,24.479
c15f,24.656
c15g,24.701
c15helix,23.543
c16,20.756
c17,46.178
c17l,16.79
c18,28.951
c18n,17.844
c19,34.429
c21,34.12
c26,54.268
c4,3.086
c5,4.296
c5n,4.142
c6,8.184
c6n,5.197
c7,11.633
c7c,8.623
c7n,6.251
c8,16.265
c8a,13.016
c8s,12.999
c8si,12.999
c9,17.461
c9n,8.359
c9s,14.088
e1,9.097
e2,12.289
e3,9.588
e4,9.588
e5,9.588
e6,20.035
e7,12.039
e8,13.006
e9,32.369
e10,14.412
e11,13.651
e12,42.805
e13,13.218
e14,14.544
e15,18.022
e16,22.149
e17,16.641
e18,13.218
e19,12.935
e20,13.651
e21,13.651
e22,11.959
e23,14.978
e24,14.916
e25,12.078
e26,17.176
e27,2.51
e28,18.261
e29,16.952
e30,14.841
e31,14.841
e32,13.713
e33,20.813
e34,29.608
e35,43.128
e36,73.589
e37,121.241
