Molecule,Lowest_Total_Energy
c10n,6.548
c12p,2.564
c12p0,2.564
c12p1,12.503
c15,4.123
c15a,3.766
c15b,3.953
c15c,4.033
c15d,3.923
c15e,3.637
c15f,3.693
c15g,3.932
c15helix,2.017
c16,6.764
c17,29.624
c17l,10.938
c18,2.101
c18n,11.565
c19,14.135
c21,1.782
c26,25.184
c4,2.788
c5,-10.925
c5n,3.439
c6,-1.26
c6n,4.045
c7,-4.847
c7c,2.909
c7n,4.672
c8,-5.244
c8a,3.968
c8s,3.798
c8si,3.798
c9,8.922
c9n,5.922
c9s,4.476
e1,5.661
e2,5.32
e3,-10.073
e4,-10.072
e5,-10.073
e6,1.343
e7,-1.876
e8,1.812
e9,20.397
e10,7.441
e11,-5.934
e12,33.938
e13,5.41
e14,8.294
e15,7.934
e16,6.069
e17,6.325
e18,5.413
e19,-7.074
e20,-5.934
e21,-5.934
e22,2.099
e23,1.364
e24,-8.182
e25,-11.697
e26,-1.608
e27,-10.919
e28,4.164
e29,-5.901
e30,2.357
e31,2.357
e32,3.591
e33,4.904
e34,0.438
e35,4.493
e36,37.806
e37,69.373
