Molecule,Lowest_Total_Energy,Conformers within 3 kcal/mol,Conformers within 5 kcal/mol
c6n,6.833,1,1
c15a,111.415,1,1
e12,56.897,1,1
e24,53.426,1,1
c15f,62.312,1,1
e3,24.886,1,1
c15b,83.937,1,1
c9,29.636,1,1
e19,90.796,1,1
c7n,8.065,1,1
c18,61.159,1,1
e18,18.501,1,1
e7,12.611,1,1
c15g,37.502,1,1
c39n,186.91,1,1
c9n,99.378,1,1
c15c,56.868,1,1
c12p,53.567,1,1
e17,57.986,1,1
e14,31.6,1,1
c17,259.677,1,1
e30,19.897,1,1
c20n,110.929,1,1
e15,34.828,1,1
c15helix,133.279,1,1
e23,21.043,1,1
e37,164.52,1,1
e29,41.083,1,1
e6,48.797,1,1
c6,21.708,1,1
c10n,24.931,1,1
e1,9.097,1,1
e27,13.598,1,1
c8s,30.413,1,1
c26,526.463,1,1
e25,22.527,1,1
c7,26.499,1,1
e16,108.41,1,1
e4,9.588,1,1
c12p0,53.563,1,1
e21,15.6,1,1
c9s,66.614,1,1
e26,185.985,1,1
e36,110.722,1,1
e10,22.813,1,1
e32,17.523,1,1
c15d,123.71,1,1
e22,12.482,1,1
c4,3.895,1,1
c16,114.702,1,1
c12p1,82.533,1,1
c8a,27.97,1,1
c15e,53.34,1,1
c18n,58.75,1,1
e34,173.507,1,1
e38,33.03,1,1
c8,25.942,1,1
e31,18.188,1,1
c5,11.53,1,1
e28,68.595,1,1
c8si,75.046,1,1
e8,34.968,1,1
c21,112.295,1,1
e5,24.886,1,1
c19,45.38,1,1
e39,153.723,1,1
c15,291.112,1,1
e40,259.941,1,1
c17l,25.215,1,1
e11,15.6,1,1
c5n,4.142,1,1
e13,16.225,1,1
c7c,13.041,1,1
e2,12.289,1,1
e33,136.246,1,1
e35,210.169,1,1
e9,59.203,1,1
e20,20.816,1,1
