Molecule,Lowest_Total_Energy,Conformers within 3 kcal/mol,Conformers within 5 kcal/mol
c10n,15.639,1,1
c8si,796.245,1,1
c7,5.899,1,1
e36,450.23,1,1
c21,787.488,1,1
c17l,13.926,1,1
c7c,13.605,1,1
c18,23.076,1,1
c15helix,937.424,1,1
e35,192.576,1,1
c39n,242.064,1,1
e10,13.641,1,1
c8,4.329,1,1
e18,15.405,1,1
e37,172.959,1,1
c15e,10.957,1,1
e14,32.468,1,1
e28,130.49,1,1
c5n,3.439,1,1
c4,3.272,1,1
e31,14.197,1,1
c15b,379.021,1,1
e29,5.927,1,1
e22,2.741,1,1
e32,7.055,1,1
e15,11.225,1,1
c15g,31.418,1,1
e40,219.787,1,1
c9,20.437,1,1
c15d,920.688,1,1
e1,5.661,1,1
e27,30.499,1,1
c20n,118.692,1,1
c16,67.468,1,1
e33,933.42,1,1
c9s,544.778,1,1
e13,7.892,1,1
c12p0,23.046,1,1
e34,974.846,1,1
c15f,935.856,1,1
e9,29.044,1,1
e8,3.262,1,1
c8s,15.887,1,1
e30,7.773,1,1
c9n,897.593,1,1
e12,41.341,1,1
c6,11.074,1,1
c19,40.677,1,1
e17,27.784,1,1
e23,6.166,1,1
c6n,4.949,1,1
e26,1772.861,1,1
e20,24.983,1,1
e16,506.445,1,1
e38,33.165,1,1
c18n,16.511,1,1
c8a,14.527,1,1
c15,44.883,1,1
e2,5.32,1,1
c17,2539.514,1,1
c15c,30.845,1,1
c12p1,294.873,1,1
c7n,5.759,1,1
c26,4874.556,1,1
c15a,53.143,1,1
e39,228.074,1,1
c12p,23.046,1,1
e6,13.935,1,1
