Molecule,ConfGF_MM3,GeoDiff_MM3,Diamond-PRCG_MM3
e1,9.097,9.097,9.097
e10,17.79,22.813,14.412
e11,13.651,15.6,13.651
e12,45.95,56.897,42.805
e13,16.225,16.225,13.218
e14,17.796,31.6,14.544
e15,19.845,34.828,18.022
e16,34.813,108.41,22.149
e17,18.409,57.986,16.641
e18,16.225,18.501,13.218
e19,12.935,90.796,12.935
e2,12.289,,12.289
e20,13.651,,13.651
e21,13.651,15.6,13.651
e22,12.482,12.482,11.959
e23,15.758,21.043,14.978
e24,15.651,53.426,14.916
e25,15.23,22.527,12.078
e26,17.857,185.985,17.176
e27,3.205,13.598,2.51
e28,19.777,68.595,18.261
e29,37.724,41.083,16.952
e3,9.588,24.886,9.588
e30,17.92,19.897,14.841
e31,17.92,18.188,14.841
e32,16.618,17.523,13.713
e33,21.942,,20.813
e34,31.282,173.507,29.608
e35,62.169,,43.128
e36,212.58,110.722,73.589
e37,150.029,164.52,121.241
e4,9.588,9.588,9.588
e5,9.588,24.886,9.588
e6,21.98,48.797,20.035
e7,12.039,12.611,12.039
e8,15.748,34.968,13.006
e9,32.369,,32.369
c10n,,24.931,9.413
c12p,,53.567,32.78
c12p0,,53.563,32.78
c12p1,,82.533,38.747
c15,,291.112,24.714
c15a,,111.415,24.573
c15b,,83.937,24.595
c15c,,56.868,24.608
c15d,,123.71,24.69
c15e,,53.34,24.479
c15f,,62.312,24.656
c15g,,37.502,24.701
c15helix,,133.279,23.543
c16,,114.702,20.756
c17,,259.677,46.178
c17l,,25.215,16.79
c18,,61.159,28.951
c18n,,58.75,17.844
c19,,45.38,34.429
c21,,112.295,34.12
c26,,526.463,54.268
c4,,3.895,3.086
c5,,11.53,4.296
c5n,,4.142,4.142
c6,,21.708,8.184
c6n,,6.833,5.197
c7,,26.499,11.633
c7c,,13.041,8.623
c7n,,8.065,6.251
c8,,25.942,16.265
c8a,,27.97,13.016
c8s,,30.413,12.999
c8si,,75.046,12.999
c9,,29.636,17.461
c9n,,99.378,8.359
c9s,,66.614,14.088
