Molecule,ConfGF_OPLS4,GeoDiff_OPLS4,Diamond_OPLS4
e1,5.661,5.661,5.661
e10,11.062,13.641,7.441
e11,24.984,,-5.934
e12,35.908,41.341,33.938
e13,7.892,7.892,5.41
e14,10.763,32.468,8.294
e15,7.934,11.225,7.934
e16,8.253,506.445,6.069
e17,6.388,27.784,6.325
e18,7.895,15.405,5.413
e19,6.21,,-7.074
e2,5.32,5.32,5.32
e20,24.983,24.983,-5.934
e21,24.984,,-5.934
e22,2.099,2.741,2.099
e23,1.364,6.166,1.364
e25,62.281,,-8.182
e26,0.153,1772.861,-11.697
e27,0.13,30.499,-1.608
e28,4.847,130.49,-10.919
e29,5.182,5.927,4.164
e3,,,-10.073
e30,7.359,7.773,-5.901
e31,7.358,14.197,2.357
e32,7.055,7.055,2.357
e33,5.389,933.42,3.591
e34,0.686,974.846,4.904
e35,19.102,192.576,0.438
e36,224.526,450.23,4.493
e37,81.213,172.959,37.806
e38,33.165,33.165,69.373
e4,,,-10.072
e5,,,-10.073
e6,1.343,,1.343
e7,0.043,,-1.876
e8,3.262,3.262,1.812
e9,20.397,29.044,20.397
c10n,,15.639,6.548
c12p,,,2.564
c12p0,,23.046,2.564
c12p1,,294.873,12.503
c15,,44.883,4.123
c15a,,,3.766
c15b,,379.021,3.953
c15c,,30.845,4.033
c15d,,920.688,3.923
c15e,,10.957,3.637
c15f,,935.856,3.693
c15g,,31.418,3.932
c15helix,,937.424,2.017
c16,,67.468,6.764
c17,,2539.514,29.624
c17l,,13.926,10.938
c18,,23.076,2.101
c18n,,16.511,11.565
c19,,40.677,14.135
c21,,787.488,1.782
c26,,4874.556,25.184
c4,,3.272,2.788
c5,,,-10.925
c5n,,3.439,3.439
c6,,11.074,-1.26
c6n,,4.949,4.045
c7,,5.899,-4.847
c7c,,13.605,2.909
c7n,,5.759,4.672
c8,,4.329,
